sheet	sku	review_date	inbound	sales	inventory	reorders
ST32 PI	WA2602ST32PI	2026-06-04	212	135	77	1차 리오더 500 2026-07-12
ST27 EC	WA2602ST27EC	2026-06-04	659	264	395	1차 리오더 500 2026-07-26
ST16 WH	WA2602ST16WH	2026-06-04	1374	1577	-203	1차 리오더 1200 2026-06-10; 2차 리오더 500 2026-07-10
ST16 BK	WA2602ST16BK	2026-06-04	1221	1432	-211	1차 리오더 1200 2026-06-10; 2차 리오더 500 2026-07-10
ST34 GN	WA2602ST34GN	2026-06-04	760	280	480	1차 리오더 600 2026-07-12
ST34 WH	WA2602ST34WH	2026-06-04	1433	555	878	1차 리오더 1000 2026-07-12
ST31 YE	WA2602ST31YE	2026-06-04	582	228	354	1차 리오더 500 2026-07-12
ST31 CH	WA2602ST31CH	2026-06-04	1760	623	1137	1차 리오더 1000 2026-07-12
ST31 WH	WA2602ST31WH	2026-06-04	1759	458	1301	1차 리오더 700 2026-07-12
ST24 NA	WA2602ST24NA	2026-06-04	483	165	318	1차 리오더 300 2026-07-19
ST24 CM	WA2602ST24CM	2026-06-04	1010	355	655	1차 리오더 500 2026-07-19
