filename,raw_pdf_style_no,file_style_no,page,pdf_bbox,width_px,height_px,nonwhite_ratio,edge_content_ratio,blank,too_small
SWA2701CD001.png,SWA2701CD001,SWA2701CD001,2,"48.2,109.4,389.3,213.7",1800,551,0.4838,0.08,False,False
SWA2701CD003.png,SWA2701CD003,SWA2701CD003,2,"476.6,110.0,730.9,215.1",1527,632,0.5776,0.0489,False,False
SWA2701CD003_2.png,SWA2701CD003,SWA2701CD003,2,"845.4,89.7,1099.9,217.4",1528,767,0.5582,0.1858,False,False
SWA2701CR002.png,SWA2701CR002,SWA2701CR002,6,"0.9,449.4,388.0,553.3",1800,484,0.5846,0.0888,False,False
SWA2701CR003.png,SWA2701CR003,SWA2701CR003,6,"2.6,696.1,315.8,809.5",1800,652,0.6281,0.1037,False,False
SWA2701CR004.png,SWA2701CR004,SWA2701CR004,6,"6.5,565.0,410.1,675.8",1800,494,0.6288,0.0094,False,False
SWA2701CR005.png,SWA2701CR005,SWA2701CR005,6,"494.9,564.5,807.5,678.4",1800,657,0.6252,0.0926,False,False
SWA2701CR006.png,SWA2701CR006,SWA2701CR006,6,"458.8,444.8,906.5,558.0",1800,456,0.6405,0.0252,False,False
SWA2701HD001.png,SWA2701HD001,SWA2701HD001,6,"12.7,82.4,396.3,209.6",1800,597,0.5287,0.0504,False,False
SWA2701HD002.png,SWA2701HD002,SWA2701HD002,6,"479.7,92.0,840.6,220.1",1800,639,0.5883,0.0842,False,False
SWA2701HD003.png,SWA2701HD003,SWA2701HD003,6,"8.7,249.0,273.2,376.3",1588,764,0.5315,0.0479,False,False
SWA2701HZ001.png,SWA2701HZ001,SWA2701HZ001,5,"25.6,79.7,489.2,206.9",1800,494,0.5534,0.0483,False,False
SWA2701HZ002.png,SWA2701HZ002,SWA2701HZ002,5,"608.0,84.8,968.7,212.1",1800,635,0.5265,0.0317,False,False
SWA2701HZ003.png,SWA2701HZ003,SWA2701HZ003,5,"27.7,494.3,280.5,623.3",1519,776,0.5681,0.1117,False,False
SWA2701HZ004.png,SWA2701HZ004,SWA2701HZ004,5,"39.1,295.3,412.6,425.3",1800,627,0.5455,0.06,False,False
SWA2701HZ005.png,SWA2701HZ005,SWA2701HZ005,5,"578.3,299.4,856.4,430.4",1670,787,0.5641,0.0827,False,False
SWA2701HZ006.png,SWA2701HZ006,SWA2701HZ006,5,"360.4,492.8,629.5,620.1",1615,765,0.5363,0.0709,False,False
SWA2701HZ009.png,SWA2701HZ009,SWA2701HZ009,5,"733.0,496.7,1004.3,610.9",1629,686,0.5722,0.0437,False,False
SWA2701JK001.png,SWA2701JK001,SWA2701JK001,1,"0.0,80.8,369.2,202.2",1800,593,0.4811,0.1719,False,False
SWA2701JK002.png,SWA2701JK002,SWA2701JK002,1,"497.5,84.9,807.2,200.5",1800,673,0.4618,0.1597,False,False
SWA2701JK003.png,SWA2701JK003,SWA2701JK003,1,"2.7,214.4,301.4,344.4",1793,781,0.464,0.0714,False,False
SWA2701JK004.png,SWA2701JK004,SWA2701JK004,1,"16.9,353.8,359.4,466.5",1800,594,0.4413,0.0338,False,False
SWA2701JK005.png,SWA2701JK005,SWA2701JK005,1,"348.1,224.0,671.4,346.4",1800,683,0.4705,0.1234,False,False
SWA2701JK006.png,SWA2701JK006,SWA2701JK006,1,"731.7,222.9,1036.9,349.8",1800,748,0.4876,0.0317,False,False
SWA2701LT002.png,SWA2701LT002,SWA2701LT002,7,"17.0,105.9,345.9,218.9",1800,619,0.5421,0.0852,False,False
SWA2701LT003.png,SWA2701LT003,SWA2701LT003,7,"609.9,271.8,1063.1,385.5",1800,452,0.4608,0.0613,False,False
SWA2701LT004.png,SWA2701LT004,SWA2701LT004,7,"243.8,432.5,581.2,549.7",1800,625,0.5178,0.0382,False,False
SWA2701LT006.png,SWA2701LT006,SWA2701LT006,7,"12.8,264.2,540.9,384.8",1800,412,0.5456,0.1906,False,False
SWA2701LT007.png,SWA2701LT007,SWA2701LT007,7,"635.7,436.3,1100.5,549.3",1800,438,0.5797,0.0558,False,False
SWA2701LT009.png,SWA2701LT009,SWA2701LT009,7,"413.3,115.0,891.3,228.2",1800,427,0.5646,0.0336,False,False
SWA2701LT011.png,SWA2701LT011,SWA2701LT011,7,"405.9,576.9,865.7,688.9",1800,439,0.5107,0.0397,False,False
SWA2701LT08.png,SWA2701LT08,SWA2701LT08,7,"29.9,576.8,350.2,690.8",1800,641,0.5458,0.0688,False,False
SWA2701PT001.png,SWA2701PT001,SWA2701PT001,11,"26.2,74.6,369.6,209.8",1800,709,0.5953,0.0722,False,False
SWA2701PT002.png,SWA2701PT002,SWA2701PT002,11,"549.8,80.5,906.8,209.3",1800,650,0.6107,0.0623,False,False
SWA2701PT003.png,SWA2701PT003,SWA2701PT003,11,"23.0,372.7,259.6,505.5",1420,799,0.5787,0.0579,False,False
SWA2701PT004.png,SWA2701PT004,SWA2701PT004,11,"386.1,231.1,640.1,364.0",1525,798,0.5413,0.0292,False,False
SWA2701PT005.png,SWA2701PT005,SWA2701PT005,11,"23.0,372.7,633.2,531.2",1800,468,0.5451,0.3289,False,False
SWA2701PT006.png,SWA2701PT006,SWA2701PT006,11,"694.3,226.0,931.6,358.9",1425,799,0.585,0.102,False,False
SWA2701PT008.png,SWA2701PT008,SWA2701PT008,11,"25.7,231.7,267.8,359.0",1453,764,0.599,0.0258,False,False
SWA2701PT009.png,SWA2701PT009,SWA2701PT009,11,"687.9,372.9,928.8,505.8",1446,798,0.5617,0.0854,False,False
SWA2701PT011.png,SWA2701PT011,SWA2701PT011,4,"0.0,85.1,246.9,232.2",1482,884,0.5528,0.1092,False,False
SWA2701PT012.png,SWA2701PT012,SWA2701PT012,4,"319.5,94.0,660.8,229.4",1800,715,0.6344,0.0554,False,False
SWA2701PT013.png,SWA2701PT013,SWA2701PT013,4,"596.4,222.3,1009.9,369.6",1800,642,0.5472,0.135,False,False
SWA2701PT014.png,SWA2701PT014,SWA2701PT014,4,"697.7,82.5,959.7,224.7",1573,855,0.5283,0.152,False,False
SWA2701PT015.png,SWA2701PT015,SWA2701PT015,4,"7.4,238.6,251.8,372.7",1467,806,0.5576,0.0466,False,False
SWA2701PT016.png,SWA2701PT016,SWA2701PT016,4,"328.7,236.9,562.1,370.5",1401,803,0.5802,0.0573,False,False
SWA2701PT017.png,SWA2701PT017,SWA2701PT017,4,"4.5,373.7,289.0,508.2",1709,809,0.4984,0.1217,False,False
SWA2701SH001.png,SWA2701SH001,SWA2701SH001,2,"0.0,420.1,321.4,550.6",1800,732,0.59,0.1092,False,False
SWA2701SH002.png,SWA2701SH002,SWA2701SH002,2,"356.8,419.6,738.3,547.2",1800,603,0.5724,0.056,False,False
SWA2701SH003.png,SWA2701SH003,SWA2701SH003,2,"14.3,609.4,407.1,739.4",1800,596,0.5409,0.0724,False,False
SWA2701SH004.png,SWA2701SH004,SWA2701SH004,2,"484.8,600.8,883.8,736.5",1800,613,0.4663,0.0441,False,False
SWA2701SH005.png,SWA2701SH005,SWA2701SH005,2,"786.9,420.1,1143.1,546.8",1800,641,0.5898,0.0682,False,False
SWA2701SO001.png,SWA2701SO001,SWA2701SO001,11,"2.5,554.4,406.8,666.8",1800,501,0.5718,0.0789,False,False
SWA2701SO003.png,SWA2701SO003,SWA2701SO003,11,"405.9,693.8,700.3,807.3",1767,681,0.5422,0.1199,False,False
SWA2701SO004.png,SWA2701SO004,SWA2701SO004,11,"484.7,562.5,883.0,668.8",1800,480,0.5669,0.0594,False,False
SWA2701SO006.png,SWA2701SO006,SWA2701SO006,11,"9.8,696.4,352.4,810.2",1800,598,0.5105,0.055,False,False
SWA2701SO009.png,SWA2701SO009,SWA2701SO009,11,"773.5,695.8,1103.3,808.5",1800,616,0.4911,0.106,False,False
SWA2701SO012.png,SWA2701SO012,SWA2701SO012,4,"0.0,569.3,284.4,668.0",1707,593,0.3915,0.1125,False,False
SWA2702CD004.png,SWA2702CD004,SWA2702CD004,2,"39.7,253.6,324.3,372.8",1710,716,0.5556,0.1935,False,False
SWA2702JK001.png,SWA2702JK001,SWA2702JK001,1,"454.4,349.2,909.1,467.9",1800,470,0.4536,0.0831,False,False
SWA2702KT001.png,SWA2702KT001,SWA2702KT001,2,"430.4,256.9,688.9,371.9",1552,691,0.54,0.0453,False,False
SWA2702LT005.png,SWA2702LT005,SWA2702LT005,7,"9.6,420.9,196.6,544.6",1123,743,0.5472,0.034,False,False
SWA2702SO005.png,SWA2702SO005,SWA2702SO005,4,"497.9,728.5,753.4,818.9",1534,543,0.5114,0.0483,False,False
SWA2702SO011.png,SWA2702SO011,SWA2702SO011,4,"11.5,720.7,451.6,820.2",1800,408,0.4091,0.1234,False,False
SWA2702SO013.png,SWA2702SO013,SWA2702SO013,4,"837.7,565.0,1131.8,672.4",1765,646,0.5483,0.1879,False,False
SWA2702SO014.png,SWA2702SO014,SWA2702SO014,4,"308.9,563.6,799.5,678.4",1800,422,0.5262,0.1293,False,False
SWA2702SS001.png,SWA2702SS001,SWA2702SS001,3,"27.7,512.6,415.3,640.2",1800,594,0.4649,0.1241,False,False
SWA2702SS002.png,SWA2702SS002,SWA2702SS002,3,"27.7,512.6,975.5,651.5",1800,264,0.4423,0.0426,False,False
SWA2702SS003.png,SWA2702SS003,SWA2702SS003,3,"29.5,297.0,439.4,424.9",1800,562,0.3383,0.0942,False,False
SWA2702SS004.png,SWA2702SS004,SWA2702SS004,3,"29.5,296.6,928.0,435.3",1800,278,0.3772,0.0809,False,False
SWA2702SS005.png,SWA2702SS005,SWA2702SS005,3,"31.6,120.7,391.6,247.5",1800,635,0.4954,0.0107,False,False
SWA2702SS006.png,SWA2702SS006,SWA2702SS006,3,"531.2,115.3,928.5,243.8",1800,583,0.4707,0.0632,False,False
SWA2702ST002.png,SWA2702ST002,SWA2702ST002,10,"10.3,103.8,499.4,216.3",1800,414,0.4612,0.1026,False,False
SWA2702ST003.png,SWA2702ST003,SWA2702ST003,8,"493.8,477.6,836.5,590.7",1800,594,0.5056,0.1312,False,False
SWA2702ST004.png,SWA2702ST004,SWA2702ST004,9,"27.4,490.6,521.3,602.9",1800,410,0.4783,0.0764,False,False
