filename,raw_pdf_style_no,file_style_no,page,image_block_count,pdf_image_bbox,width_px,height_px,nonwhite_ratio,blank,too_small
SWA2701CD001.png,SWA2701CD001,SWA2701CD001,2,3,"62.2,123.4,375.3,199.7",1800,464,0.6435,False,False
SWA2701CD003.png,SWA2701CD003,SWA2701CD003,2,2,"490.6,124.0,716.9,201.1",1394,499,0.7897,False,False
SWA2701CD003_2.png,SWA2701CD003,SWA2701CD003,2,2,"859.4,103.7,1085.9,203.4",1395,635,0.705,False,False
SWA2701CR002.png,SWA2701CR002,SWA2701CR002,6,1,"14.9,463.4,374.0,539.3",1800,404,0.7763,False,False
SWA2701CR003.png,SWA2701CR003,SWA2701CR003,6,2,"16.6,710.1,301.8,795.5",1748,549,0.8146,False,False
SWA2701CR004.png,SWA2701CR004,SWA2701CR004,6,1,"20.5,579.0,396.1,661.8",1800,419,0.8243,False,False
SWA2701CR005.png,SWA2701CR005,SWA2701CR005,6,2,"508.9,578.5,793.5,664.4",1744,552,0.8146,False,False
SWA2701CR006.png,SWA2701CR006,SWA2701CR006,6,3,"472.8,458.8,892.5,544.0",1800,386,0.8283,False,False
SWA2701HD001.png,SWA2701HD001,SWA2701HD001,6,3,"26.7,96.4,382.3,195.6",1800,524,0.6671,False,False
SWA2701HD002.png,SWA2701HD002,SWA2701HD002,6,3,"493.7,106.0,826.6,206.1",1800,564,0.7351,False,False
SWA2701HD003.png,SWA2701HD003,SWA2701HD003,6,2,"22.7,263.0,259.2,362.3",1455,632,0.6878,False,False
SWA2701HZ001.png,SWA2701HZ001,SWA2701HZ001,5,4,"39.6,93.7,475.2,192.9",1800,429,0.6924,False,False
SWA2701HZ002.png,SWA2701HZ002,SWA2701HZ002,5,3,"622.0,98.8,954.7,198.1",1800,560,0.673,False,False
SWA2701HZ003.png,SWA2701HZ003,SWA2701HZ003,5,2,"41.7,508.3,266.5,609.3",1386,643,0.7277,False,False
SWA2701HZ004.png,SWA2701HZ004,SWA2701HZ004,5,3,"53.1,309.3,398.6,411.3",1800,554,0.6943,False,False
SWA2701HZ005.png,SWA2701HZ005,SWA2701HZ005,5,2,"592.3,313.4,842.4,416.4",1537,654,0.7145,False,False
SWA2701HZ006.png,SWA2701HZ006,SWA2701HZ006,5,2,"374.4,506.8,615.5,606.1",1483,632,0.6921,False,False
SWA2701HZ009.png,SWA2701HZ009,SWA2701HZ009,5,2,"747.0,510.7,990.3,596.9",1496,554,0.7683,False,False
SWA2701JK001.png,SWA2701JK001,SWA2701JK001,1,2,"11.4,94.8,355.2,188.2",1800,512,0.6068,False,False
SWA2701JK002.png,SWA2701JK002,SWA2701JK002,1,1,"511.5,98.9,793.2,186.5",1727,562,0.5791,False,False
SWA2701JK003.png,SWA2701JK003,SWA2701JK003,1,1,"16.7,228.4,287.4,330.4",1661,648,0.5919,False,False
SWA2701JK004.png,SWA2701JK004,SWA2701JK004,1,2,"30.9,367.8,345.4,452.5",1800,510,0.5757,False,False
SWA2701JK005.png,SWA2701JK005,SWA2701JK005,1,1,"362.1,238.0,657.4,332.4",1800,600,0.6005,False,False
SWA2701JK006.png,SWA2701JK006,SWA2701JK006,1,1,"745.7,236.9,1022.9,335.8",1700,630,0.6273,False,False
SWA2701LT002.png,SWA2701LT002,SWA2701LT002,7,2,"31.0,119.9,331.9,204.9",1800,535,0.705,False,False
SWA2701LT003.png,SWA2701LT003,SWA2701LT003,7,3,"623.9,285.8,1049.1,371.5",1800,383,0.5849,False,False
SWA2701LT004.png,SWA2701LT004,SWA2701LT004,7,2,"257.8,446.5,567.2,535.7",1800,543,0.6329,False,False
SWA2701LT006.png,SWA2701LT006,SWA2701LT006,7,3,"26.8,278.2,526.9,370.8",1800,351,0.6761,False,False
SWA2701LT007.png,SWA2701LT007,SWA2701LT007,7,3,"649.7,450.3,1086.5,535.3",1800,371,0.7418,False,False
SWA2701LT009.png,SWA2701LT009,SWA2701LT009,7,3,"427.3,129.0,877.3,214.2",1800,361,0.7257,False,False
SWA2701LT011.png,SWA2701LT011,SWA2701LT011,7,3,"419.9,590.9,851.7,674.9",1800,371,0.6409,False,False
SWA2701LT08.png,SWA2701LT08,SWA2701LT08,7,2,"43.9,590.8,336.2,676.8",1791,552,0.7168,False,False
SWA2701PT001.png,SWA2701PT001,SWA2701PT001,11,3,"40.2,88.6,355.6,195.8",1800,635,0.7432,False,False
SWA2701PT002.png,SWA2701PT002,SWA2701PT002,11,3,"563.8,94.5,892.8,195.3",1800,574,0.7685,False,False
SWA2701PT003.png,SWA2701PT003,SWA2701PT003,11,2,"37.0,386.7,245.6,491.5",1288,666,0.7479,False,False
SWA2701PT004.png,SWA2701PT004,SWA2701PT004,11,4,"400.1,245.1,626.1,350.0",1392,666,0.6996,False,False
SWA2701PT005.png,SWA2701PT005,SWA2701PT005,11,6,"37.0,386.7,619.2,517.2",1800,418,0.5725,False,False
SWA2701PT006.png,SWA2701PT006,SWA2701PT006,11,2,"708.3,240.0,917.6,344.9",1293,666,0.7571,False,False
SWA2701PT008.png,SWA2701PT008,SWA2701PT008,11,2,"39.7,245.7,253.8,345.0",1321,632,0.7787,False,False
SWA2701PT009.png,SWA2701PT009,SWA2701PT009,11,2,"701.9,386.9,914.8,491.8",1314,666,0.7244,False,False
SWA2701PT011.png,SWA2701PT011,SWA2701PT011,4,2,"13.6,99.1,232.9,218.2",1352,751,0.6885,False,False
SWA2701PT012.png,SWA2701PT012,SWA2701PT012,4,3,"333.5,108.0,646.8,215.4",1800,640,0.7969,False,False
SWA2701PT013.png,SWA2701PT013,SWA2701PT013,4,3,"610.4,236.3,995.9,355.6",1800,576,0.662,False,False
SWA2701PT014.png,SWA2701PT014,SWA2701PT014,4,2,"711.7,96.5,945.7,210.7",1440,722,0.669,False,False
SWA2701PT015.png,SWA2701PT015,SWA2701PT015,4,2,"21.4,252.6,237.8,358.7",1335,673,0.7105,False,False
SWA2701PT016.png,SWA2701PT016,SWA2701PT016,4,2,"342.7,250.9,548.1,356.5",1269,670,0.7485,False,False
SWA2701PT017.png,SWA2701PT017,SWA2701PT017,4,2,"18.5,387.7,275.0,494.2",1576,676,0.6261,False,False
SWA2701SH001.png,SWA2701SH001,SWA2701SH001,2,2,"6.4,434.1,307.4,536.6",1800,636,0.7338,False,False
SWA2701SH002.png,SWA2701SH002,SWA2701SH002,2,2,"370.8,433.6,724.3,533.2",1800,529,0.7005,False,False
SWA2701SH003.png,SWA2701SH003,SWA2701SH003,2,2,"28.3,623.4,393.1,725.4",1800,525,0.6655,False,False
SWA2701SH004.png,SWA2701SH004,SWA2701SH004,2,2,"498.8,614.8,869.8,722.5",1800,543,0.5686,False,False
SWA2701SH005.png,SWA2701SH005,SWA2701SH005,2,1,"800.9,434.1,1129.1,532.8",1800,565,0.7433,False,False
SWA2701SO001.png,SWA2701SO001,SWA2701SO001,11,3,"16.5,568.4,392.8,652.8",1800,426,0.7388,False,False
SWA2701SO003.png,SWA2701SO003,SWA2701SO003,11,2,"419.9,707.8,686.3,793.3",1635,549,0.7127,False,False
SWA2701SO004.png,SWA2701SO004,SWA2701SO004,11,3,"498.7,576.5,869.0,654.8",1800,403,0.7418,False,False
SWA2701SO006.png,SWA2701SO006,SWA2701SO006,11,2,"23.8,710.4,338.4,796.2",1800,515,0.6598,False,False
SWA2701SO009.png,SWA2701SO009,SWA2701SO009,11,2,"787.5,709.8,1089.3,794.5",1800,531,0.6452,False,False
SWA2701SO012.png,SWA2701SO012,SWA2701SO012,4,2,"8.1,583.3,270.4,654.0",1610,461,0.5003,False,False
SWA2702CD004.png,SWA2702CD004,SWA2702CD004,2,2,"53.7,267.6,310.3,358.8",1577,584,0.7162,False,False
SWA2702JK001.png,SWA2702JK001,SWA2702JK001,1,3,"468.4,363.2,895.1,453.9",1800,403,0.5751,False,False
SWA2702KT001.png,SWA2702KT001,SWA2702KT001,2,2,"444.4,270.9,674.9,357.9",1420,559,0.7241,False,False
SWA2702LT005.png,SWA2702LT005,SWA2702LT005,7,1,"23.6,434.9,182.6,530.6",991,611,0.7358,False,False
SWA2702SO005.png,SWA2702SO005,SWA2702SO005,4,2,"511.9,742.5,739.4,804.9",1402,411,0.7288,False,False
SWA2702SO011.png,SWA2702SO011,SWA2702SO011,4,3,"25.5,734.7,437.6,806.2",1800,334,0.5288,False,False
SWA2702SO013.png,SWA2702SO013,SWA2702SO013,4,2,"851.7,579.0,1117.8,658.4",1633,513,0.6987,False,False
SWA2702SO014.png,SWA2702SO014,SWA2702SO014,4,3,"322.9,577.6,785.5,664.4",1800,357,0.6591,False,False
SWA2702SS001.png,SWA2702SS001,SWA2702SS001,3,2,"41.7,526.6,401.3,626.2",1800,520,0.5884,False,False
SWA2702SS002.png,SWA2702SS002,SWA2702SS002,3,6,"41.7,526.6,961.5,637.5",1800,227,0.5194,False,False
SWA2702SS003.png,SWA2702SS003,SWA2702SS003,3,2,"43.5,311.0,425.4,410.9",1800,491,0.4229,False,False
SWA2702SS004.png,SWA2702SS004,SWA2702SS004,3,5,"43.5,310.6,914.0,421.3",1800,240,0.4318,False,False
SWA2702SS005.png,SWA2702SS005,SWA2702SS005,3,2,"45.6,134.7,377.6,233.5",1800,559,0.6321,False,False
SWA2702SS006.png,SWA2702SS006,SWA2702SS006,3,2,"545.2,129.3,914.5,229.8",1800,511,0.5802,False,False
SWA2702ST002.png,SWA2702ST002,SWA2702ST002,10,3,"24.3,117.8,485.4,202.3",1800,349,0.5904,False,False
SWA2702ST003.png,SWA2702ST003,SWA2702ST003,8,1,"507.8,491.6,822.5,576.7",1800,512,0.6482,False,False
SWA2702ST004.png,SWA2702ST004,SWA2702ST004,9,3,"41.4,504.6,507.3,588.9",1800,345,0.6092,False,False
SWA2702ST005.png,SWA2702ST005,SWA2702ST005,10,2,"35.4,623.9,348.4,704.7",1800,490,0.6356,False,False
SWA2702ST006.png,SWA2702ST006,SWA2702ST006,10,3,"470.0,277.0,927.9,362.0",1800,354,0.6602,False,False
SWA2702ST007.png,SWA2702ST007,SWA2702ST007,10,3,"617.1,120.7,1092.4,207.8",1800,348,0.6015,False,False
SWA2702ST008.png,SWA2702ST008,SWA2702ST008,10,2,"31.6,277.8,370.7,363.5",1800,479,0.6098,False,False
SWA2702ST009.png,SWA2702ST009,SWA2702ST009,10,3,"537.6,632.6,1086.9,717.6",1800,295,0.5855,False,False
SWA2702ST011.png,SWA2702ST011,SWA2702ST011,9,2,"637.3,512.1,933.1,591.4",1800,510,0.504,False,False
SWA2702ST012.png,SWA2702ST012,SWA2702ST012,8,3,"42.3,117.0,516.5,200.5",1800,336,0.4545,False,False
SWA2702ST013.png,SWA2702ST013,SWA2702ST013,8,2,"666.7,116.4,977.9,198.6",1800,501,0.4053,False,False
SWA2702ST014.png,SWA2702ST014,SWA2702ST014,8,1,"41.2,669.5,354.9,754.7",1800,514,0.6506,False,False
SWA2702ST015.png,SWA2702ST015,SWA2702ST015,8,2,"42.4,299.4,361.8,383.8",1800,500,0.6159,False,False
SWA2702ST016.png,SWA2702ST016,SWA2702ST016,8,2,"495.3,303.7,815.0,388.7",1800,504,0.6451,False,False
SWA2702ST017.png,SWA2702ST017,SWA2702ST017,8,2,"45.1,490.4,362.0,575.6",1800,508,0.6293,False,False
SWA2702ST018.png,WA2702ST018,SWA2702ST018,10,1,"41.2,444.4,494.1,530.1",1800,360,0.5499,False,False
SWA2702ST019.png,SWA2702ST019,SWA2702ST019,9,3,"44.5,672.2,517.6,755.0",1800,334,0.6356,False,False
SWA2702ST021.png,SWA2702ST021,SWA2702ST021,9,2,"47.8,321.5,370.1,407.2",1800,503,0.6398,False,False
SWA2702ST022.png,SWA2702ST022,SWA2702ST022,8,1,"499.7,669.1,975.6,754.3",1800,341,0.6582,False,False
SWA2702ST023.png,SWA2702ST023,SWA2702ST023,9,2,"21.9,128.7,374.8,218.9",1800,483,0.6191,False,False
SWA2702ST024.png,SWA2702ST024,SWA2702ST024,9,3,"526.9,132.3,1015.3,220.1",1800,342,0.6618,False,False
